id;name;created_by;created_date;last_modified_by;last_modified_date
1;Truyện cổ tích;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
2;Trinh thám;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
3;Lãng mạn;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
4;Kinh dị;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
5;Tâm lý;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
6;Khoa học viễn tưởng;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
7;Thơ;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
8;Truyện ngắn;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
9;Sử thi;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
10;Tự truyện;librarian;2023-08-12 16:53:36.638399;librarian;2023-08-12 16:53:36.638399
