id;sent_at;type
61257d30-cc2b-44db-8d22-7cdd5d550f19;2023-07-21T16:44:42;RETURN
e2aac9aa-6e60-4dca-b617-4f4ff274d412;2023-07-22T01:07:45;AVAILABLE
ba6d40e2-eda9-4707-95b6-a07866d426c9;2023-07-21T10:08:51;RETURN
40db87c0-30df-4202-9f04-b7c5cf4987c0;2023-07-21T13:30:37;RETURN
7a890688-b1c2-462a-a7ee-95e8a7816bec;2023-07-21T23:25:13;RETURN
ea0418bd-9a90-4420-9c60-c3b8e2f70e3a;2023-07-21T17:16:27;AVAILABLE
86d4c9a0-6156-400b-8bf1-f6b2e1b653b3;2023-07-22T06:04:09;RETURN
2a9d6b2e-4c37-4a0f-87b9-9691e64a33b7;2023-07-21T16:54:30;RETURN
33268a0a-4a6b-401d-8219-5f38ebafeceb;2023-07-21T15:38:59;AVAILABLE
1ade7acc-a3ec-4dd9-8f6a-585f3bf82751;2023-07-22T06:24:52;AVAILABLE
